Statistical profiling result from debub-v8.log, (15552 ticks, 28 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.1%  LazyCompile: *wrapper /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/wrappy/wrappy.js:19:19
      2    0.0%    0.1%  LazyCompile: *step /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:23:22
      2    0.0%    0.1%  LazyCompile: *stat node:internal/modules/cjs/loader:151:14
      2    0.0%    0.1%  LazyCompile: *splitRoot node:fs:2366:33
      2    0.0%    0.1%  LazyCompile: *setHeader node:_http_outgoing:574:57
      2    0.0%    0.1%  LazyCompile: *readSync node:fs:684:18
      2    0.0%    0.1%  LazyCompile: *readFileSync node:fs:450:22
      2    0.0%    0.1%  LazyCompile: *readFileAfterOpen node:fs:310:27
      2    0.0%    0.1%  LazyCompile: *preparePath /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/helpers.js:63:21
      2    0.0%    0.1%  LazyCompile: *popStack /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:960:30
      2    0.0%    0.1%  LazyCompile: *parse /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/minimatch/minimatch.js:296:16
      2    0.0%    0.1%  LazyCompile: *get /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/debug/src/common.js:125:9
      2    0.0%    0.1%  LazyCompile: *formatValue node:internal/util/inspect:745:21
      2    0.0%    0.1%  LazyCompile: *formatProperty node:internal/util/inspect:1810:24
      2    0.0%    0.1%  LazyCompile: *fastparse /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/parseurl/index.js:95:20
      2    0.0%    0.1%  LazyCompile: *each /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:91:22
      2    0.0%    0.1%  LazyCompile: *createError /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/http-errors/index.js:49:22
      2    0.0%    0.1%  LazyCompile: *castChunk /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:52:19
      2    0.0%    0.1%  LazyCompile: *_write node:internal/streams/writable:283:16
      2    0.0%    0.1%  LazyCompile: *_addListener node:events:554:22
      2    0.0%    0.1%  LazyCompile: *RES /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/inflight/inflight.js:18:28
      2    0.0%    0.1%  LazyCompile: *Glob._readdir /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/glob/glob.js:522:36
      2    0.0%    0.1%  LazyCompile: *Glob._processReaddir2 /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/glob/glob.js:372:44
      2    0.0%    0.1%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:505:34
      2    0.0%    0.1%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:130:39
      2    0.0%    0.1%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:20:46
      2    0.0%    0.1%  Function: ^write_ node:_http_outgoing:730:16
      2    0.0%    0.1%  Function: ^stripFlags /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/helpers.js:52:20
      2    0.0%    0.1%  Function: ^setupParams /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:1034:36
      2    0.0%    0.1%  Function: ^setopts /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/glob/common.js:48:18
      2    0.0%    0.1%  Function: ^set maxAge /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-session/session/cookie.js:83:13
      2    0.0%    0.1%  Function: ^resolve node:path:1091:10
      2    0.0%    0.1%  Function: ^readFileAfterRead node:internal/fs/read_file_context:25:27
      2    0.0%    0.1%  Function: ^randomFillSync node:internal/crypto/random:111:24
      2    0.0%    0.1%  Function: ^processPromiseRejections node:internal/process/promises:211:34
      2    0.0%    0.1%  Function: ^parserOnIncoming node:_http_server:852:26
      2    0.0%    0.1%  Function: ^makeStatsCallback node:fs:194:27
      2    0.0%    0.1%  Function: ^isEncoding node:buffer:530:40
      2    0.0%    0.1%  Function: ^header /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express/lib/response.js:759:29
      2    0.0%    0.1%  Function: ^handle /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express/lib/router/index.js:136:31
      2    0.0%    0.1%  Function: ^getInfo file:///home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/components/info/controllers/infoController.js:5:18
      2    0.0%    0.1%  Function: ^get node:internal/bootstrap/pre_execution:307:8
      2    0.0%    0.1%  Function: ^formatRaw node:internal/util/inspect:820:19
      2    0.0%    0.1%  Function: ^end node:_http_outgoing:833:45
      2    0.0%    0.1%  Function: ^emit node:events:474:44
      2    0.0%    0.1%  Function: ^destroy node:internal/streams/destroy:32:17
      2    0.0%    0.1%  Function: ^createProtoAccessControl /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/internal/proto-access.js:19:34
      2    0.0%    0.1%  Function: ^appendToBuffer /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:42:42
      2    0.0%    0.1%  Function: ^appendContent /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:375:40
      2    0.0%    0.1%  Function: ^WhitespaceControl.BlockStatement.WhitespaceControl.DecoratorBlock.WhitespaceControl.PartialBlockStatement /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/whitespace-control.js:75:152
      2    0.0%    0.1%  Function: ^Socket._writeGeneric node:net:769:42
