Statistical profiling result from debug-v8.log, (13757 ticks, 29 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.1%  LazyCompile: *syncExports node:internal/bootstrap/loaders:287:14
      2    0.0%    0.1%  LazyCompile: *step /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:23:22
      2    0.0%    0.1%  LazyCompile: *readFileSync node:fs:450:22
      2    0.0%    0.1%  LazyCompile: *readFileAfterStat node:fs:326:27
      2    0.0%    0.1%  LazyCompile: *popStack /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:960:30
      2    0.0%    0.1%  LazyCompile: *isFileType node:fs:205:20
      2    0.0%    0.1%  LazyCompile: *execIteration /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/helpers/each.js:39:27
      2    0.0%    0.1%  LazyCompile: *SendStream /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/send/index.js:96:21
      2    0.0%    0.1%  LazyCompile: *PathExpression /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:289:42
      2    0.0%    0.1%  LazyCompile: *Module._compile node:internal/modules/cjs/loader:1057:37
      2    0.0%    0.1%  LazyCompile: *Glob._processReaddir2 /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/glob/glob.js:372:44
      2    0.0%    0.1%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:331:47
      2    0.0%    0.1%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:30:40
      2    0.0%    0.1%  Function: ^writevGeneric node:internal/stream_base_commons:122:23
      2    0.0%    0.1%  Function: ^update node:internal/crypto/hash:95:40
      2    0.0%    0.1%  Function: ^template /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/runtime.js:52:18
      2    0.0%    0.1%  Function: ^step /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:31:18
      2    0.0%    0.1%  Function: ^simpleSexpr /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:264:36
      2    0.0%    0.1%  Function: ^setupHelper /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:1020:36
      2    0.0%    0.1%  Function: ^ret._setup /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/runtime.js:217:25
      2    0.0%    0.1%  Function: ^replaceStack /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:892:38
      2    0.0%    0.1%  Function: ^readableAddChunk node:internal/streams/readable:236:26
      2    0.0%    0.1%  Function: ^merge /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/qs/lib/utils.js:47:27
      2    0.0%    0.1%  Function: ^makeRequireFunction node:internal/modules/cjs/helpers:58:29
      2    0.0%    0.1%  Function: ^getInfo file:///home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/utils/js/getInfo.js:4:17
      2    0.0%    0.1%  Function: ^getInfo file:///home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/components/info/controllers/infoController.js:5:18
      2    0.0%    0.1%  Function: ^execIteration /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/helpers/each.js:39:27
      2    0.0%    0.1%  Function: ^compileFunction node:vm:308:25
      2    0.0%    0.1%  Function: ^append /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/vary/index.js:38:17
      2    0.0%    0.1%  Function: ^SendStream /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/send/index.js:96:21
      2    0.0%    0.1%  Function: ^Module.require node:internal/modules/cjs/loader:997:36
      2    0.0%    0.1%  Function: ^Module._extensions..js node:internal/modules/cjs/loader:1112:37
      2    0.0%    0.1%  Function: ^Hash node:internal/crypto/hash:58:14
      2    0.0%    0.1%  Function: ^Glob._process /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/glob/glob.js:295:36
      2    0.0%    0.1%  Function: ^Glob /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/glob/glob.js:117:15
      2    0.0%    0.1%  Function: ^ContentStatement /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:228:46
      2    0.0%    0.1%  Function: *wasm-function[15]
      1    0.0%    0.0%  RegExp: ^text\/|^application\/(javascript|json)
      1    0.0%    0.0%  RegExp: ^\{\{~?!-?-?
      1    0.0%    0.0%  RegExp: ^\s*?\r?\n
      1    0.0%    0.0%  RegExp: ^[!#$%&'*+.^_`|~0-9A-Za-z-]+\/[!#$%&'*+.^_`|~0-9A-Za-z-]+$
      1    0.0%    0.0%  RegExp: ^[!#$%&'*+.^_`|~0-9A-Za-z-]+$
      1    0.0%    0.0%  RegExp: ^.*[\.\/\\]
      1    0.0%    0.0%  RegExp: ^(?:undefined(?=([~}\s)])))
      1    0.0%    0.0%  RegExp: ^(?:true(?=([~}\s)])))
      1    0.0%    0.0%  RegExp: ^(?:null(?=([~}\s)])))
      1    0.0%    0.0%  RegExp: ^(?:false(?=([~}\s)])))
      1    0.0%    0.0%  RegExp: ^(?:\}(~)?\}\})
      1    0.0%    0.0%  RegExp: ^(?:\|)
      1    0.0%    0.0%  RegExp: ^(?:\{\{(~)?\^\s*(~)?\}\})
      1    0.0%    0.0%  RegExp: ^(?:\{\{(~)?\*?)
      1    0.0%    0.0%  RegExp: ^(?:\{\{(~)?#>)
      1    0.0%    0.0%  RegExp: ^(?:\{\{(~)?![\s\S]*?\}\})
      1    0.0%    0.0%  RegExp: ^(?:\s+)
      1    0.0%    0.0%  RegExp: ^(?:\.(?=([=~}\s\/.)|])))
      1    0.0%    0.0%  RegExp: ^(?:@)
      1    0.0%    0.0%  RegExp: ^(?:=)
      1    0.0%    0.0%  RegExp: ^(?:-?[0-9]+(?:\.[0-9]+)?(?=([~}\s)])))
      1    0.0%    0.0%  RegExp: ^(?:(~)?\}\})
      1    0.0%    0.0%  RegExp: ^(?:([^\s!"#%-,\.\/;->@\[-\^`\{-~]+(?=([=~}\s\/.)|]))))
      1    0.0%    0.0%  RegExp: ^(?:'(\\[']|[^'])*')
      1    0.0%    0.0%  RegExp: ^(?:$)
      1    0.0%    0.0%  RegExp: ^(?:"(\\["]|[^"])*")
      1    0.0%    0.0%  RegExp: ^((?:@[^/\\%]+\/)?[^./\\%][^/\\%]*)(\/.*)?$
      1    0.0%    0.0%  LazyCompile: *toString node:buffer:783:46
      1    0.0%    0.0%  LazyCompile: *setHeader node:_http_outgoing:574:57
      1    0.0%    0.0%  LazyCompile: *readSync node:fs:684:18
      1    0.0%    0.0%  LazyCompile: *readFileAfterOpen node:fs:310:27
      1    0.0%    0.0%  LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
      1    0.0%    0.0%  LazyCompile: *passLookupPropertyOption /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/runtime.js:366:34
      1    0.0%    0.0%  LazyCompile: *opcode /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:347:26
      1    0.0%    0.0%  LazyCompile: *getPathFromURLPosix node:internal/url:1395:29
      1    0.0%    0.0%  LazyCompile: *fastparse /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/parseurl/index.js:95:20
      1    0.0%    0.0%  LazyCompile: *cpus node:os:133:14
      1    0.0%    0.0%  LazyCompile: *compileFunction node:vm:308:25
      1    0.0%    0.0%  LazyCompile: *basename node:path:1306:11
      1    0.0%    0.0%  LazyCompile: *accept /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/visitor.js:57:26
      1    0.0%    0.0%  LazyCompile: *accept /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:101:26
      1    0.0%    0.0%  LazyCompile: *_unrefTimer node:net:417:52
      1    0.0%    0.0%  LazyCompile: *_storeHeader node:_http_outgoing:374:22
      1    0.0%    0.0%  LazyCompile: *__awaiter /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:18:54
      1    0.0%    0.0%  LazyCompile: *SourceNode_prepend /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/source-map/lib/source-node.js:197:59
      1    0.0%    0.0%  LazyCompile: *Module._resolveLookupPaths node:internal/modules/cjs/loader:667:38
      1    0.0%    0.0%  LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
